Time,State
964,1
965,2
966,1
967,2
968,1
969,2
970,1
971,0
972,3
973,1
974,2
975,1
976,2
977,1
978,2
979,1
980,2
981,1
982,0
983,0
984,0
985,1
986,2
987,1
988,2
989,1
990,2
991,1
992,0
993,0
994,2
995,1
996,2
997,1
998,2
999,1
1000,2
